Reference, Value, Footprint, Datasheet
P1,USB_B,Connect:USB_B,
P2,CONN_01X25,Connect:DB25FC,
R1,27R,Resistors_SMD:R_0805,
R2,27R,Resistors_SMD:R_0805,
RXp1,150,Resistors_SMD:R_0805,
RYp1,150,Resistors_SMD:R_0805,
RRp1,150,Resistors_SMD:R_0805,
RGp1,150,Resistors_SMD:R_0805,
RBp1,150,Resistors_SMD:R_0805,
RXn1,150,Resistors_SMD:R_0805,
RYn1,150,Resistors_SMD:R_0805,
RRn1,150,Resistors_SMD:R_0805,
RGn1,150,Resistors_SMD:R_0805,
RBn1,150,Resistors_SMD:R_0805,
RINTp1,150,Resistors_SMD:R_0805,
RINTn1,150,Resistors_SMD:R_0805,
U1,Mounting_Hole,Mounting_Holes:MountingHole_3.2mm_M3,
U3,Mounting_Hole,Mounting_Holes:MountingHole_3.2mm_M3,
U4,Mounting_Hole,Mounting_Holes:MountingHole_3.2mm_M3,
U2,Mounting_Hole,Mounting_Holes:MountingHole_3.2mm_M3,
R9,150,Resistors_SMD:R_0805,
U5,AP2114,TO_SOT_Packages_SMD:SOT-223,
C1,4.7uF,Capacitors_SMD:C_0603,
C3,4.7uF,Capacitors_SMD:C_0603,
R16,330R,Resistors_SMD:R_0805,
U6,SPX431,TO_SOT_Packages_SMD:SOT89-3_Housing,
U7,ISA_DC-DC_converter,Personal Library:SOIC-10,
+9V1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
-9V1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
GND1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
5V1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
3.3V1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
2.5V1,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
C2,4.7uF,Capacitors_SMD:c_elec_4x5.8,
C24,4.7uF,Capacitors_SMD:C_0603,
C23,4.7uF,Capacitors_SMD:C_0603,
U8,ATSAM4S,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,
C4,100nF,Capacitors_SMD:C_0402,
C8,10nF,Capacitors_SMD:C_0402,
C6,100nF,Capacitors_SMD:C_0402,
C7,100nF,Capacitors_SMD:C_0402,
C9,100nF,Capacitors_SMD:C_0402,
C5,2.2uF,Capacitors_SMD:C_0603,
L1,10uH,Personal Library:Inductor_SM_1008i2520m,
C10,100nF,Capacitors_SMD:C_0402,
C11,4.7uF,Capacitors_SMD:C_0603,
R17,1R,Resistors_SMD:R_0805,
Y1,12MHz .25%,Crystals:Crystal_HC49-SD_SMD,
C12,C,Capacitors_SMD:C_0402,
C13,C,Capacitors_SMD:C_0402,
Power1,Led_Small,LEDs:LED_0603,
Status1,Led_Small,LEDs:LED_0603,
R18,330R,Resistors_SMD:R_0805,
R19,330R,Resistors_SMD:R_0805,
P3,CONN_01X02,,
U9,DAC084S085C,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,
C14,0.1uF,Capacitors_SMD:C_0402,
CP1,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
R20,10k,Resistors_SMD:R_0805,
R21,10k,Resistors_SMD:R_0805,
R31,10k,Resistors_SMD:R_0805,
R30,10k,Resistors_SMD:R_0805,
U12,TL084_v,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
R26,1.65k,Resistors_SMD:R_0805,
R27,10k,Resistors_SMD:R_0805,
R34,1.65k,Resistors_SMD:R_0805,
R36,10k,Resistors_SMD:R_0805,
R38,10k,Resistors_SMD:R_0805,
R40,10k,Resistors_SMD:R_0805,
R37,10k,Resistors_SMD:R_0805,
R39,10k,Resistors_SMD:R_0805,
R41,10k,Resistors_SMD:R_0805,
R35,1.65k,Resistors_SMD:R_0805,
R24,10k,Resistors_SMD:R_0805,
R22,10k,Resistors_SMD:R_0805,
R28,10k,Resistors_SMD:R_0805,
R32,10k,Resistors_SMD:R_0805,
R25,10k,Resistors_SMD:R_0805,
R23,10k,Resistors_SMD:R_0805,
R29,10k,Resistors_SMD:R_0805,
R33,10k,Resistors_SMD:R_0805,
C17,100nF,Capacitors_SMD:C_0402,
C19,100nF,Capacitors_SMD:C_0402,
C21,100nF,Capacitors_SMD:C_0402,
C18,100nF,Capacitors_SMD:C_0402,
C20,100nF,Capacitors_SMD:C_0402,
C22,100nF,Capacitors_SMD:C_0402,
C15,390pF,Capacitors_SMD:C_0402,
C16,390pF,Capacitors_SMD:C_0402,
U11,LM358,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U10,TL084_v,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
